Drug,Target,Concentration_nM,Apoptosis_WT,Apoptosis_ATM_def,SL_Score
AZD6738 (ATR inhibitor),ATR,1,0.2971947426226648,0.6303903137213686,2.1211354822711233
AZD6738 (ATR inhibitor),ATR,3,0.28493411354923404,0.6653818342122343,2.335212958266095
AZD6738 (ATR inhibitor),ATR,10,0.25208642231495165,0.7104414269146551,2.8182455064043235
AZD6738 (ATR inhibitor),ATR,30,0.201830995529303,0.700783476241375,3.472130107685225
AZD6738 (ATR inhibitor),ATR,100,0.15060416080700026,0.6237952855231335,4.141952534249895
AZD6738 (ATR inhibitor),ATR,300,0.12916547914842988,0.5745719070594429,4.448339531951695
AZD6738 (ATR inhibitor),ATR,1000,0.13655022568069347,0.5754124360194443,4.213925192368251
VE-822 (ATR inhibitor),ATR,1,0.29816839256090955,0.6259421448875111,2.099290738067229
VE-822 (ATR inhibitor),ATR,3,0.2874956913019565,0.6565691330123928,2.283752949614813
VE-822 (ATR inhibitor),ATR,10,0.257739392615288,0.7013431506057398,2.7211329377678495
VE-822 (ATR inhibitor),ATR,30,0.20855687742260137,0.6983478673081118,3.348476808525671
VE-822 (ATR inhibitor),ATR,100,0.15256690786914753,0.6152635058553133,4.032745465242096
VE-822 (ATR inhibitor),ATR,300,0.124154727543645,0.5446744427540628,4.387061640988174
VE-822 (ATR inhibitor),ATR,1000,0.1199310202809724,0.5352434296955083,4.462927343080622
Prexasertib (CHK1 inhibitor),CHK1,1,0.3086005720195876,0.6292048110156643,2.0388970989195934
Prexasertib (CHK1 inhibitor),CHK1,3,0.3177293109762702,0.6730513409050732,2.1183168113669577
Prexasertib (CHK1 inhibitor),CHK1,10,0.34834704894273344,0.7845100248231138,2.252093213374928
Prexasertib (CHK1 inhibitor),CHK1,30,0.4251831204123362,0.9240870578664159,2.1733860388677946
Prexasertib (CHK1 inhibitor),CHK1,100,0.5983725720596611,0.9944052517401598,1.6618496538324155
Prexasertib (CHK1 inhibitor),CHK1,300,0.75215973788766,0.9997675399495993,1.329195767321065
Prexasertib (CHK1 inhibitor),CHK1,1000,0.7817112027900451,0.9999136226177465,1.2791343133485922
Adavosertib (WEE1 inhibitor),WEE1,1,0.30420826898539866,0.605868936644082,1.9916254698295608
Adavosertib (WEE1 inhibitor),WEE1,3,0.3046822335650611,0.6083723390105797,1.996743728349587
Adavosertib (WEE1 inhibitor),WEE1,10,0.30633791033339747,0.6169831408824227,2.014060682894063
Adavosertib (WEE1 inhibitor),WEE1,30,0.311041070200153,0.6403479342816742,2.058724701112989
Adavosertib (WEE1 inhibitor),WEE1,100,0.3271861181524048,0.7096485743559812,2.1689446311576814
Adavosertib (WEE1 inhibitor),WEE1,300,0.37068132982409785,0.8354257479325539,2.2537572861546455
Adavosertib (WEE1 inhibitor),WEE1,1000,0.49505335275936635,0.9684661729351041,1.9562864639477604
Olaparib (PARP inhibitor),PARP,1,0.3039669745129737,0.6045832351174715,1.9889767172442183
Olaparib (PARP inhibitor),PARP,3,0.30395886029761665,0.6045311808870618,1.9888585590008607
Olaparib (PARP inhibitor),PARP,10,0.30393244586735135,0.6043618092047962,1.9884741409561932
Olaparib (PARP inhibitor),PARP,30,0.3038706743687947,0.6039662204197916,1.987576529635051
Olaparib (PARP inhibitor),PARP,100,0.3037434223805795,0.6031534599087999,1.9857334034811476
Olaparib (PARP inhibitor),PARP,300,0.3036142640676568,0.6023314896664922,1.9838708550671713
Olaparib (PARP inhibitor),PARP,1000,0.3035258677069898,0.6017706373875255,1.9826008304783027
Talazoparib (PARP inhibitor),PARP,1,0.3039628838085945,0.6045569909604178,1.988917144703455
Talazoparib (PARP inhibitor),PARP,3,0.30394717676164645,0.6044562500411851,1.9886884835755394
Talazoparib (PARP inhibitor),PARP,10,0.3038993341870479,0.604149673801072,1.9879927523277234
Talazoparib (PARP inhibitor),PARP,30,0.3038039344480375,0.6035395881624565,1.9866088609385197
Talazoparib (PARP inhibitor),PARP,100,0.3036585840590585,0.6026132099438706,1.9845090558239198
Talazoparib (PARP inhibitor),PARP,300,0.30355529714091295,0.6019572067105305,1.9830232329337245
Talazoparib (PARP inhibitor),PARP,1000,0.30350090857662976,0.6016125277310378,1.9822429216192576
ATM inhibitor (KU-55933),ATM,1,0.30244580472193744,0.6017294860090394,1.9895448262615425
ATM inhibitor (KU-55933),ATM,3,0.2994546669070509,0.596050997240704,1.9904548604871632
ATM inhibitor (KU-55933),ATM,10,0.2895694881385757,0.5770059059102481,1.9926336494199886
ATM inhibitor (KU-55933),ATM,30,0.2654865255212823,0.5288986300166312,1.9921863415785026
ATM inhibitor (KU-55933),ATM,100,0.21041997037841337,0.4113780999448557,1.955033541754829
ATM inhibitor (KU-55933),ATM,300,0.14262163669973812,0.2595987302953934,1.8201917766651885
ATM inhibitor (KU-55933),ATM,1000,0.08384953514574876,0.13050360215416243,1.556402214124607
Peposertib (NHEJ inhibitor),NHEJ,1,0.3047733945196632,0.6265481763072194,2.055783698884504
Peposertib (NHEJ inhibitor),NHEJ,3,0.3062549283130714,0.6663760373835715,2.175886739371468
Peposertib (NHEJ inhibitor),NHEJ,10,0.3102842317065518,0.7724257942271832,2.4894136256259944
Peposertib (NHEJ inhibitor),NHEJ,30,0.31456408780442463,0.9183385754480018,2.919400564310331
Peposertib (NHEJ inhibitor),NHEJ,100,0.2988843508131537,0.9967294550609289,3.3348331966835905
Peposertib (NHEJ inhibitor),NHEJ,300,0.2610052363503019,0.999997682040063,3.831331876797829
Peposertib (NHEJ inhibitor),NHEJ,1000,0.23911758725333965,0.9999999995601696,4.182042864545519
Dual ATR+PARP inhibition,ATR+PARP,1,0.29682125691693284,0.6285065491549974,2.1174580139012367
Dual ATR+PARP inhibition,ATR+PARP,3,0.28387015782607833,0.6604225064391447,2.3264950127084956
Dual ATR+PARP inhibition,ATR+PARP,10,0.24906760808123027,0.6976669956397398,2.8011149302570266
Dual ATR+PARP inhibition,ATR+PARP,30,0.19539327131197018,0.6709045337083311,3.433611245686894
Dual ATR+PARP inhibition,ATR+PARP,100,0.13903812137732113,0.5528201782954912,3.97603313982681
Dual ATR+PARP inhibition,ATR+PARP,300,0.11035507497329976,0.4495672729167197,4.0738250871153125
Dual ATR+PARP inhibition,ATR+PARP,1000,0.0978055747265303,0.39292816809092224,4.017441431018331
Triple combination,ATR+PARP+WEE1,1,0.29682125696835737,0.628506549297618,2.1174580140148787
Triple combination,ATR+PARP+WEE1,3,0.28387015790663156,0.6604225062185463,2.3264950112712004
Triple combination,ATR+PARP+WEE1,10,0.24906760809167386,0.6976669959114351,2.8011149312304235
Triple combination,ATR+PARP+WEE1,30,0.1953932713281796,0.6709045337828404,3.4336112457833785
Triple combination,ATR+PARP+WEE1,100,0.13903812135933294,0.5528201782570411,3.9760331400646693
Triple combination,ATR+PARP+WEE1,300,0.11035507497649907,0.4495672728962028,4.07382508681129
Triple combination,ATR+PARP+WEE1,1000,0.09780557473175605,0.3929281680798393,4.017441430690364
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,1,0.29762228852702327,0.6487773838321186,2.1798682721076226
