Drug,Target,IC50_WT_nM,IC50_ATM_def_nM,IC50_Ratio,Hill_WT,Hill_ATM_def,Emax_WT,Emax_ATM_def,Therapeutic_Window
Adavosertib (WEE1 inhibitor),WEE1,9999.999999982274,1.000000000000001,9999.999999982263,0.10697580846149701,0.2633183264205475,0.9804569563089086,0.9999999999999999,None
Prexasertib (CHK1 inhibitor),CHK1,30.98841595015988,1.000000000000002,30.98841595015982,0.34907486925824177,0.6742960396920895,0.9999999999999999,0.9999999999999999,None
Peposertib (NHEJ inhibitor),NHEJ,1.0000000000000184,1.0000000000000038,1.0000000000000147,0.10000000000001803,0.6551282968032142,0.49001154072314246,0.9999999999999999,100-1000 nM
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,1.0000000000000053,1.0000000000000002,1.000000000000005,0.10000000000000002,0.6762477319649194,0.3283700709560391,0.9999999999999999,1-1000 nM
AZD6738 (ATR inhibitor),ATR,1.0000000000000002,1.0000000000000002,1.0,0.1000000000000009,0.10146098659802637,0.34183475785013967,0.9999999999999999,1-1000 nM
Triple combination,ATR+PARP+WEE1,1.0000000000001326,1.0000000000004985,0.9999999999996341,0.10000000000135129,0.10000000000000002,0.3206091445989254,0.9681700380522177,1-1000 nM
Dual ATR+PARP inhibition,ATR+PARP,1.0000000000001323,1.0000000000005034,0.999999999999629,0.10000000000135106,0.10000000000000002,0.3206091447898515,0.9681700397892039,1-1000 nM
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,1.0000000000000004,1.0000000000119549,0.9999999999880456,0.10000000000000016,0.685446413981133,0.3357534465959045,0.9999999999999999,1-1000 nM
ATM inhibitor (KU-55933),ATM,1.0000000000001288,1.0000000000188618,0.999999999981267,0.10000000000072612,0.10000000000054683,0.37444751687275907,0.7271121581526351,None
VE-822 (ATR inhibitor),ATR,1.0000000000000013,1.0000000000370501,0.9999999999629512,0.10000000000000078,0.10000000000000002,0.3401110036052708,0.9999999999990008,1-1000 nM
Olaparib (PARP inhibitor),PARP,1.00000000000001,1.000000330524331,0.9999996694757882,0.10000000000010018,0.10000000205358255,0.5156368987179678,0.9999999911786018,None
Talazoparib (PARP inhibitor),PARP,1.0000000000000089,1.0000003721074535,0.9999996278926938,0.10000000000009038,0.10000000188410438,0.515565481096622,0.9999999899182188,None
