Parameter,Baseline_Value,Perturbation,Perturbed_Value,Apoptosis_WT,Apoptosis_ATM_def,SL_Score,Delta_SL,Sensitivity_Index
k_atm_act,0.45,-0.5,0.225,0.14299405101965548,0.5569508199559359,3.894923012422239,-0.17203837856843185,0.08460290719726997
k_atm_act,0.45,-0.2,0.36000000000000004,0.14451714320835243,0.569989301925016,3.9440947230963057,-0.12286666789436529,0.15105462786854265
k_atm_act,0.45,-0.1,0.405,0.144909556502686,0.5742496293008037,3.962814069409974,-0.10414732158069695,0.2560814120621088
k_atm_act,0.45,0.0,0.45,0.1452480597523864,0.5784677475178358,3.982619447750191,-0.08434194324048017,0.0
k_atm_act,0.45,0.1,0.49500000000000005,0.14553479771922162,0.5826440747629541,4.003469162660615,-0.0634922283300563,-0.15611711601370828
k_atm_act,0.45,0.2,0.54,0.14577185407631177,0.5867790250797994,4.025324564868467,-0.041636826122203985,-0.05118910916444878
k_atm_act,0.45,0.5,0.675,0.14620488172372414,0.5989396936115802,4.096577942885421,0.02961655189475021,0.014564461792215792
k_atr_act,2.0,-0.5,1.0,0.14841294128542432,0.47822686803198783,3.2222720194748584,-0.8446893715158126,0.415390897679535
k_atr_act,2.0,-0.2,1.6,0.16667856588231472,0.5409170430562652,3.2452705612921204,-0.8216908296985506,1.0102023976903245
k_atr_act,2.0,-0.1,1.8,0.17267962693759256,0.5600928814893633,3.2435377086596566,-0.8234236823310144,2.0246655996172036
k_atr_act,2.0,0.0,2.0,0.17863747208312328,0.5784677475178358,3.2382217502980795,-0.8287396406925915,0.0
k_atr_act,2.0,0.1,2.2,0.1845524125564883,0.5960750976554222,3.229841806987887,-0.8371195840027839,-2.0583416057433235
k_atr_act,2.0,0.2,2.4,0.19042475731667896,0.6129469909455896,3.2188408670320654,-0.8481205239586056,-1.042695568536012
k_atr_act,2.0,0.5,3.0,0.20778927380651746,0.6594507669193909,3.173651627145283,-0.8933097638453882,-0.4393008332089363
k_p53_act_by_chk1,0.8,-0.5,0.4,0.11130321054974075,0.46646076969408123,4.190901299164436,0.12393990817376466,-0.06094963598539308
k_p53_act_by_chk1,0.8,-0.2,0.6400000000000001,0.1299941430074426,0.5368037565070414,4.129445712614203,0.06248432162353179,-0.0768194182540681
k_p53_act_by_chk1,0.8,-0.1,0.7200000000000001,0.13613668530073558,0.5581265386312775,4.0997511978372065,0.03278980684653554,-0.08062482943450877
k_p53_act_by_chk1,0.8,0.0,0.8,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_p53_act_by_chk1,0.8,0.1,0.8800000000000001,0.148291970695944,0.5978725689014002,4.031725831786743,-0.035235559203927735,-0.08663853874291319
k_p53_act_by_chk1,0.8,0.2,0.96,0.15430532400737967,0.616384108467765,3.994574473906593,-0.07238691708407785,-0.08899385822106996
k_p53_act_by_chk1,0.8,0.5,1.2000000000000002,0.17209184265264024,0.6669608719437045,3.875610032777297,-0.19135135821337412,-0.09410040559384944
