Parameter,Mean_Sensitivity,Std_Sensitivity,Mean_Abs_Sensitivity,Mean_Abs_Delta_SL
k_dsb_repair_nhej,-0.06561759532546518,5.976442711851469,4.425726422831647,3.7043481316191316
k_atr_act,-0.01286844464302983,1.3421462619632516,0.9986567003536193,0.842441913720678
k_apoptosis_p53,-0.33337796195771735,0.1698451186984162,0.33337796195771735,0.37487162971138
k_p53_deact,0.3249089248657634,0.15283469914503336,0.3249089248657634,0.359408857826856
k_dsb_gen,0.13767502422205333,0.269114511972308,0.20858607672602128,0.19796115276622356
k_survival_dna_repair,-0.1492615180081472,0.0658855999053486,0.1492615180081472,0.16143613222198644
k_atm_act,0.042713883391711456,0.13539233953369045,0.10194423344261347,0.0883057025187121
k_p53_act_by_chk1,-0.06973238374740036,0.0325556866431253,0.06973238374740036,0.07402683873503024
k_apoptosis_damage,0.06313621706736332,0.030568917440203347,0.06313621706736332,0.06901779084123984
k_dsb_repair_hr,0.0,0.0,0.0,0.0
